stage,approach,model,f1,auc,prauc,recall,precision
1-structural,Exp-C structural (2 feats),Logistic Regression,0.4943,0.7834,,0.6633,0.3939
2-tfidf,Word TF-IDF + LR (thresh=0.5),Logistic Regression,0.3822485207100591,0.6746737924350745,0.4264411281587662,0.8239795918367347,0.24884437596302
2-tfidf,Word TF-IDF + LR (thresh-tuned),Logistic Regression,0.4210526315789473,0.6746737924350745,0.4264411281587662,0.6632653061224489,0.3084223013048636
2-tfidf,Char TF-IDF + LR (thresh=0.5),Logistic Regression,0.4014466546112116,0.7047356279056702,0.4772087923895989,0.8494897959183674,0.2628255722178374
2-tfidf,Char TF-IDF + LR (thresh-tuned),Logistic Regression,0.4504504504504504,0.7047356279056702,0.4772087923895989,0.4464285714285714,0.4545454545454545
3-codebert,CodeBERT fine-tuned,CodeBERT,0.5775,0.836051213465043,0.6074675489652466,0.7064220183486238,0.4883720930232558
